lemma,compound,occurences,mean_kids,mean_kids_uniq,median_kids,median_kids_uniq,min_kids,min_kids_uniq,max_kids,max_kids_uniq,stdev_kids,stdev_kids_uniq,pstdev_kids,pstdev_kids_uniq
olema,,380780,0.12,0.11,0.0,0.0,0,0,8,7,0.52,0.49,0.52,0.49
tulema,,32441,1.59,1.51,1.0,1.0,0,0,9,8,1.22,1.13,1.22,1.13
ütlema,,24624,1.69,1.65,1.0,1.0,0,0,8,7,0.94,0.89,0.94,0.89
saama,,23729,2.74,2.61,3.0,3.0,0,0,8,8,1.16,1.05,1.16,1.05
jääma,,16400,2.6,2.48,3.0,2.0,0,0,9,9,1.09,0.99,1.09,0.99
tegema,,16328,2.74,2.62,3.0,3.0,0,0,9,7,1.1,1.01,1.1,1.01
minema,,15651,2.3,2.17,2.0,2.0,0,0,8,7,1.19,1.08,1.19,1.08
hakkama,,14477,2.44,2.37,2.0,2.0,0,0,8,7,0.97,0.89,0.97,0.88
tahtma,,13857,2.04,1.98,2.0,2.0,0,0,8,7,0.95,0.87,0.95,0.87
teadma,,11159,1.99,1.9,2.0,2.0,0,0,8,5,1.08,0.98,1.08,0.98
andma,,9955,2.92,2.81,3.0,3.0,0,0,10,8,1.09,1.01,1.09,1.01
rääkima,,9012,2.03,1.95,2.0,2.0,0,0,7,6,1.06,0.97,1.06,0.97
võtma,,8639,2.76,2.63,3.0,3.0,0,0,8,8,1.16,1.07,1.16,1.07
nägema,,8553,2.31,2.2,2.0,2.0,0,0,9,8,1.22,1.12,1.22,1.12
leidma,,7476,2.55,2.45,2.0,2.0,0,0,8,7,1.13,1.03,1.13,1.03
käima,,7050,2.65,2.48,3.0,2.0,0,0,8,7,1.13,1.0,1.13,1.0
mõtlema,,6851,1.92,1.84,2.0,2.0,0,0,7,6,1.06,0.95,1.06,0.95
tundma,,6767,2.55,2.43,2.0,2.0,0,0,10,9,1.15,1.02,1.15,1.02
toimuma,,6588,2.32,2.2,2.0,2.0,0,0,8,7,1.04,0.92,1.04,0.92
küsima,,6478,1.72,1.67,2.0,2.0,0,0,8,7,1.03,0.98,1.03,0.98
arvama,,6459,1.95,1.89,2.0,2.0,0,0,7,6,0.91,0.83,0.91,0.83
pidama,,6254,2.89,2.79,3.0,3.0,0,0,9,7,1.27,1.19,1.27,1.19
vaatama,,6199,2.14,2.05,2.0,2.0,0,0,7,6,1.15,1.05,1.15,1.05
jõudma,,5902,2.63,2.5,3.0,2.0,0,0,9,7,1.13,1.03,1.13,1.03
näitama,,5803,2.36,2.31,2.0,2.0,0,0,7,6,0.86,0.8,0.86,0.8
tähendama,,5785,2.3,2.23,2.0,2.0,0,0,7,6,1.0,0.93,1.0,0.93
panema,,5534,2.96,2.8,3.0,3.0,0,0,8,7,1.11,1.02,1.11,1.02
muutuma,,5264,2.49,2.4,2.0,2.0,0,0,8,7,1.11,1.02,1.11,1.02
tekkima,,5086,2.16,2.06,2.0,2.0,0,0,7,6,1.04,0.94,1.04,0.94
kuuluma,,4988,2.42,2.34,2.0,2.0,0,0,7,7,0.91,0.83,0.91,0.83
elama,,4838,2.27,2.11,2.0,2.0,0,0,8,7,1.06,0.93,1.06,0.93
olema,vaja,4761,1.62,1.53,2.0,1.0,0,0,6,6,1.07,0.97,1.07,0.97
istuma,,4717,2.31,2.19,2.0,2.0,0,0,8,7,1.13,1.01,1.13,1.01
seisma,,4676,2.44,2.3,2.0,2.0,0,0,8,7,1.05,0.93,1.05,0.93
vastama,,4609,1.95,1.89,2.0,2.0,0,0,6,6,1.05,0.98,1.05,0.98
esinema,,4471,2.51,2.36,2.0,2.0,0,0,8,7,1.0,0.88,1.0,0.88
kinnitama,,4413,2.11,2.06,2.0,2.0,0,0,8,7,0.96,0.91,0.96,0.91
püüdma,,4279,2.09,2.06,2.0,2.0,0,0,8,7,0.9,0.86,0.9,0.86
kirjutama,,4075,2.15,2.06,2.0,2.0,0,0,8,7,1.15,1.06,1.15,1.06
asuma,,4035,2.49,2.39,2.0,2.0,0,0,8,7,1.06,0.97,1.06,0.97
puuduma,,3713,2.15,2.07,2.0,2.0,0,0,6,6,0.94,0.85,0.94,0.85
teatama,,3708,2.05,2.01,2.0,2.0,0,0,6,6,1.09,1.05,1.09,1.05
suutma,,3649,2.29,2.24,2.0,2.0,0,0,7,6,0.92,0.85,0.92,0.85
ootama,,3640,2.28,2.17,2.0,2.0,0,0,8,8,1.21,1.12,1.21,1.12
selguma,,3588,1.05,1.01,1.0,1.0,0,0,6,5,0.82,0.77,0.82,0.77
ilmuma,,3429,2.44,2.3,2.0,2.0,0,0,7,7,1.1,0.98,1.1,0.98
tooma,,3397,3.0,2.85,3.0,3.0,0,0,10,9,1.17,1.08,1.17,1.08
algama,,3327,2.29,2.19,2.0,2.0,0,0,6,6,0.98,0.89,0.98,0.89
lisama,,3322,1.73,1.68,2.0,2.0,0,0,7,7,1.0,0.94,1.0,0.94
ei,,3304,0.03,0.03,0.0,0.0,0,0,2,2,0.18,0.18,0.18,0.18
pakkuma,,3162,2.72,2.63,3.0,3.0,0,0,8,7,1.13,1.06,1.13,1.06
aitama,,3153,2.22,2.16,2.0,2.0,0,0,7,6,0.99,0.93,0.99,0.93
tõusma,,3137,2.31,2.21,2.0,2.0,0,0,9,8,1.24,1.14,1.24,1.14
nõudma,,3135,2.44,2.38,2.0,2.0,0,0,7,7,1.03,0.97,1.03,0.97
kasutama,,3126,2.84,2.72,3.0,3.0,0,0,8,7,1.08,0.97,1.08,0.97
tunduma,,3115,1.45,1.37,1.0,1.0,0,0,7,5,1.23,1.13,1.23,1.13
lubama,,3089,2.22,2.17,2.0,2.0,0,0,8,8,1.01,0.96,1.01,0.96
võimaldama,,3042,2.29,2.27,2.0,2.0,0,0,6,6,0.72,0.69,0.72,0.69
töötama,,3012,2.43,2.32,2.0,2.0,0,0,6,6,1.03,0.95,1.03,0.95
otsustama,,3003,2.25,2.19,2.0,2.0,0,0,7,6,0.95,0.88,0.95,0.88
vajama,,2958,2.56,2.48,2.0,2.0,0,0,7,6,0.94,0.85,0.94,0.85
viima,,2903,2.82,2.69,3.0,3.0,0,0,9,7,1.22,1.12,1.22,1.12
kuulma,,2878,2.03,1.93,2.0,2.0,0,0,10,8,1.26,1.15,1.26,1.15
laskma,,2827,2.44,2.36,2.0,2.0,0,0,8,8,1.1,1.02,1.1,1.02
juhtuma,,2826,2.19,2.0,2.0,2.0,0,0,9,7,1.11,0.95,1.11,0.95
soovima,,2816,2.15,2.1,2.0,2.0,0,0,6,6,0.97,0.92,0.97,0.92
